svm,10,3.2667448874056326,-8.448655157065168,16.237694163910245,5,96,76,12,6,53,66,6,-5.986580676828669,
svm,7,3.069713344782734,-7.847161331945099,-16.09933596173956,4,45,27,13,2,97,43,16,8.069595776891111,
svm,14,15.069121068725178,-8.298352847851644,-6.204167827842889,2,36,68,28,8,28,3,9,-6.040989016622559,
svm,10,11.658651872806853,-8.857293271308576,-14.502116225681439,9,11,27,1,2,95,34,5,-7.592505716545769,
svm,2,6.972726659038127,-8.22080321981376,6.292655175595588,6,38,52,25,8,63,2,8,6.3108538973643835,
svm,25,15.83251301431157,-8.44493308823468,6.752688786241105,9,65,22,19,1,60,24,9,-5.34103588827635,
svm,27,1.8061020076497698,-7.529748776108294,7.339853466219754,7,85,7,14,3,69,70,11,8.374517579791364,
svm,26,16.569058397821482,-7.728075317366336,-4.039263232822234,9,2,83,23,5,80,61,15,-8.975367316055861,
svm,2,5.1089034617760944,-8.821435204537613,-12.222344750215985,3,52,44,23,2,31,72,24,0.5279603047632815,
svm,10,2.0212840517823203,-8.40546731661896,-13.378650879660377,3,8,21,11,3,94,71,6,-5.705272942043134,
