qda,22,-0.4174568192168593,-1.6788618901970018,11.382522169594917,7,15,16,12,8,5,75,18,0.1555423489290657,
qda,7,-12.378088409297666,8.427614345484827,8.829607459684162,7,19,17,13,6,23,66,17,-0.017529017905690836,
qda,17,-1.235118073253341,-4.736637110202146,-14.764169345937363,3,81,15,7,7,56,55,8,0.022276805223178542,
svm,10,-0.9711829584611511,-9.031833195275764,14.557189719571273,3,41,91,25,6,51,20,29,6.976342805442032,
qda,16,-15.338081137820119,8.979754923807423,8.622936230825065,2,62,50,21,2,12,12,12,-0.03690140107706874,
qda,9,-3.248772584055857,-9.17437374812055,0.10532527562493499,8,71,41,15,8,21,26,9,-0.008382135564058757,
qda,10,0.411067846490468,-7.8505985477446,16.265354039127335,7,28,32,14,6,54,79,5,0.009263160393851777,
svm,19,-0.13946958330285142,-9.6537751213832,14.389899182582099,9,53,49,4,6,96,3,11,6.443177902517528,
qda,15,-5.878890863890806,11.628562382444319,-11.065246621042887,7,23,44,28,2,6,55,8,0.18482679999470975,
qda,5,-9.4899816926689,-10.014883033743944,-9.71339191096646,1,39,34,9,2,45,94,27,0.11082317944505782,
