adab,23,14.720071959568653,1.6068113750421382,-5.1258274088222375,1,11,47,20,3,96,92,22,-7.341792712597261,
svm,6,1.4993343793884044,-7.549293168099142,5.9182562181567455,9,51,67,22,9,17,22,4,4.4726957380225,
adab,8,5.949436461857175,5.44622125678713,11.610221027222263,2,68,21,7,9,67,22,23,-8.734683287779276,
svm,16,16.355144453718044,-13.601332523553182,-4.271762527610186,6,61,35,12,7,55,10,16,4.742677953376026,
adab,10,12.58119314743966,-0.4553759020831549,-15.685340673926266,1,28,71,8,2,43,78,23,5.619339274768128,
svm,12,3.379047534727981,-8.987794179153466,-3.729754733424569,9,64,71,13,2,31,88,25,3.021563081598737,
svm,22,1.7242669987862556,-7.696385128919239,5.524995526808908,4,63,88,18,4,90,55,13,0.491934670524957,
svm,19,15.869312033129265,-14.67509439663688,16.09885077324805,3,46,30,25,9,56,98,23,1.8320822532952459,
svm,6,3.0064026475156993,-8.601853353058829,-9.588416956977003,2,22,22,8,8,49,88,6,-7.279376463843184,
adab,11,-15.142269861216676,-13.28719137336998,-12.353981140505942,8,99,71,23,7,73,26,19,-4.820456863035079,
