adab,1,11.9645026111945,-9.973029161914862,1.3053457496269267,6,74,60,8,2,2,54,22,-2.4914460711655213,
svm,3,12.457230355827608,-12.457230355827608,0.011444603364669348,5,73,11,26,8,96,41,15,-4.2490892829414,
svm,6,2.5374813608114906,-8.08462091627028,-4.152410118609204,1,10,36,3,5,13,9,18,-5.664714170897894,
svm,8,12.733501534350111,-12.626184009623742,14.03821679279935,5,35,27,15,6,81,3,22,-0.3220640877578358,
svm,6,3.682316228654436,-9.51006047866077,0.721485468193837,2,85,21,12,5,89,2,16,-2.156349037436603,
svm,5,-0.2548005306764942,-6.425968594892286,-0.14870845523702414,7,66,39,19,5,4,25,24,-0.03687415390795401,
svm,3,9.789839976762917,-10.923432762570854,-4.152410118609204,3,96,50,21,3,54,70,5,-0.6141616551127118,
svm,5,12.457230355827608,-12.457230355827608,4.152410118609204,7,50,47,15,4,75,8,27,1.040959631931564,
svm,1,3.2896616365699636,-8.948291669187384,2.6700695504097105,7,3,8,23,3,50,28,15,-0.9090576073781254,
svm,5,8.78180095163204,-10.722767962947762,-4.152410118609204,5,12,39,25,4,5,11,12,-7.6960249059251415,
