adab,15,1,1,1,5,49,49,15,5,49,49,11,1,
dt,15,1,1,1,5,28,18,15,5,49,49,15,1,
rf,15,1,1,1,5,49,49,30,9,79,12,15,1,
dt,15,1,1,1,6,15,17,15,5,49,49,15,1,
dt,15,1,1,1,4,39,16,15,5,49,49,15,1,
adab,15,1,1,1,5,49,49,15,5,49,49,11,1,
linsvm,15,1,1,4.217710911576685,5,49,49,15,5,49,49,15,1,
rf,15,1,1,1,5,49,49,9,7,77,17,15,1,
dt,15,1,1,1,4,3,20,15,5,49,49,15,1,
adab,15,1,1,1,5,49,49,15,5,49,49,11,1,
