svm,21,0.02815954835470791,8.589008174407407,-12.309045949716491,9,48,42,23,8,44,5,6,-2.4914460711655213,
svm,15,1.282980003985518,8.125078598822963,12.457230355827608,1,10,58,18,8,33,62,2,-5.742728871013568,
svm,19,10.954867895725538,8.452889257732654,-12.457230355827608,1,90,90,23,3,47,21,3,1.4686523789263486,
svm,22,5.994253084167827,8.426226348501402,-7.6450327500379665,4,19,46,19,6,68,6,3,-6.907303616990251,
svm,22,1.0114804224099991,8.312333012067874,-7.015943888657507,8,77,29,17,3,2,3,9,-7.474338213496566,
svm,20,3.9901927281592826,8.963826349072818,-7.829182822717176,2,69,77,8,1,56,36,18,-7.474338213496566,
rf,16,-0.9925086882587024,9.028523333254519,-12.457230355827608,3,5,10,21,9,62,85,16,-5.179748886730312,
svm,19,14.620297850485777,8.519116195597075,-4.152410118609204,3,72,23,6,9,2,91,12,-3.03643593471205,
svm,25,11.576538009847571,8.433753480807233,-10.576147108179011,3,79,88,1,1,89,79,13,-7.474338213496566,
svm,19,6.334821279727031,8.27151181367002,-0.822902543103325,3,64,89,2,6,75,8,10,0.7890925915174218,
