rf,25,13.773406667291741,-4.2702830888756935,7.565430351019582,4,20,36,16,8,23,13,4,-7.474338213496566,
svm,5,10.094293085463988,-9.545988826264848,3.539092488941595,5,94,19,24,5,64,4,12,-2.355378402520108,
svm,11,13.92609444851404,-11.232888705662846,12.457230355827608,9,35,63,20,6,32,36,9,7.474338213496564,
rf,8,12.457230355827608,-12.457230355827608,4.152410118609204,2,81,65,28,9,3,5,9,-2.9284055520409096,
svm,11,2.1967635024517698,-4.487510633371986,4.697319075356692,2,17,69,26,6,38,70,13,0.5310993407933626,
rf,11,4.05988749209293,3.5763454188294936,4.152410118609204,2,47,17,23,9,67,5,3,-1.879906434488726,
rf,13,4.759034626163331,-4.193057700445566,4.152410118609204,8,26,54,12,9,36,27,16,0.4688011982570206,
dt,11,-4.152410118609204,-12.457230355827608,-12.457230355827608,5,15,18,10,7,33,34,8,-2.4914460711655213,
rf,21,4.301969070774074,-6.715533579588319,4.152410118609204,2,12,12,24,9,34,11,11,-2.4914460711655213,
svm,23,12.396454341826164,-10.352823530018032,6.259178203988416,2,78,99,4,7,53,10,2,-0.9916129146752048,
