{'C': 2.410751345461545, 'gamma': -7.057759527086915}
{'C': 11.266565004450868, 'gamma': -7.881541515508037}
{'C': 11.894656554774347, 'gamma': -10.208443153351364}
{'C': 3.8946042186693575, 'gamma': -8.697766913293417}
{'C': 9.11715165187088, 'gamma': -8.266901895717982}
{'C': 1.3832359548742943, 'gamma': -8.290518787643627}
{'C': 10.38587821259254, 'gamma': -11.781280213270493}
{'C': 14.579134233373065, 'gamma': -8.392552498990272}
{'C': 11.925781490627262, 'gamma': -9.069238418529366}
{'C': 7.8629617746295075, 'gamma': -7.7959482803329845}
