rf,15,13.842110798767099,-12.184975197225299,4.152410118609204,3,43,47,25,9,87,39,25,-2.4914460711655213,
rf,12,14.616386583620883,-11.595942407374876,4.577138312745898,4,16,18,29,6,6,3,16,0.5336316024612504,
rf,27,9.084936671464632,-15.879161192384666,1.3719656948623289,7,68,5,22,7,7,35,7,2.4914460711655213,
rf,10,6.929555388503122,-7.311164919317562,3.455437559298492,3,34,94,22,6,93,8,11,-1.3636764619610062,
svm,16,-0.03857227275340591,-2.5864723450941636,4.152410118609204,3,13,84,13,5,79,69,3,-2.32698804854716,
rf,28,-1.8475428454656306,13.807603738911148,8.198379104376414,1,43,29,20,6,26,24,27,8.374573803566046,
rf,26,11.645287574365753,-4.0968816789490905,4.152410118609204,8,62,79,21,4,52,2,3,-2.4914460711655213,
rf,25,4.152410118609204,-12.457230355827608,4.152410118609204,2,20,16,28,5,72,15,9,-7.474338213496566,
rf,1,12.457230355827608,4.152410118609204,2.959892375061468,4,43,23,29,9,18,42,8,-0.9716398369110042,
rf,11,4.431099881586441,-4.83224716546504,-12.457230355827608,9,25,56,30,8,50,28,10,2.4914460711655213,
