qda,5,4.525653758984646,-5.90908935552514,10.276399549946742,2,11,16,19,7,81,4,23,0.07672838466263876,
rf,7,12.259616856217114,-6.934157590915483,4.152410118609204,7,78,3,1,3,56,38,1,-0.9740968246413217,
qda,28,4.985471847623419,-4.813614033919567,12.457230355827608,2,38,60,4,2,18,75,3,0.20034951986557026,
qda,22,-5.6327075175309265,-11.758086269501417,4.152410118609204,9,72,21,30,5,90,86,1,-0.007635340937046209,
qda,2,6.145286827872354,-7.614545695840825,8.578750139086413,5,89,18,17,1,36,5,7,0.344568844579646,
qda,3,-12.457230355827608,-12.457230355827608,7.885834814086678,2,29,83,7,1,56,49,4,0.3386164559300102,
qda,3,-4.152410118609204,12.457230355827608,6.638195055354522,1,38,98,12,4,59,86,29,-0.013659806390558416,
svm,19,-0.13946958330285142,-9.6537751213832,14.389899182582099,9,53,49,4,6,96,3,11,6.443177902517528,
qda,25,-12.784383797096144,-3.606345801798952,8.837602980769649,4,2,15,10,1,79,55,5,0.3107771185443635,
qda,11,-7.061357424517613,15.650917642116216,4.750351402441641,4,77,16,23,7,53,44,14,0.24099023469654846,
