Rank,Algorithms
5.107142857142857,EGO-ss
5.178571428571429,EGO-baseline
5.392857142857143,GP-cond-ls
5.928571428571429,EGO-ws
7.75,GP-laplace-ls
7.964285714285714,GP-matern-ls
8.0,GP-cond
8.178571428571429,GP-matern
8.321428571428571,EGO-impute
9.035714285714286,SMAC
9.25,Sklearn
10.571428571428571,GP-laplace
10.75,CMA
10.928571428571429,GP-matern-noimpute
11.25,RS
12.392857142857142,Spearmint
