Rank,Algorithms
EGO-ss,5.107142857142857
EGO-baseline,5.178571428571429
GP-cond-ls,5.392857142857143
EGO-ws,5.928571428571429
GP-laplace-ls,7.75
GP-matern-ls,7.964285714285714
GP-cond,8.0
GP-matern,8.178571428571429
EGO-impute,8.321428571428571
SMAC,9.035714285714286
Sklearn,9.25
GP-laplace,10.571428571428571
CMA,10.75
GP-matern-noimpute,10.928571428571429
RS,11.25
Spearmint,12.392857142857142
